order_id,customer_id,product_id,category,amount,order_date,returned,total_amount
O100000,C17270,P234890,Home,165,23-12-2023,No,139
O100001,C17603,P228204,Grocery,25,03-04-2025,No,25
O100002,C10860,P213892,Electronics,176,08-10-2024,No,167
O100003,C15390,P208689,Electronics,64,14-09-2024,No,64
O100004,C15226,P228063,Home,16,21-12-2024,No,14
O100005,C15191,P214062,Beauty,54,14-04-2024,No,97
O100006,C13772,P201363,Electronics,267,20-05-2025,No,267
O100007,C13092,P216691,Beauty,10,14-09-2023,No,10
O100008,C15734,P202751,Fashion,7,23-10-2023,No,6
O100009,C16265,P207782,Grocery,11,31-10-2023,No,11
O100010,C10466,P217648,Beauty,7,07-02-2024,No,6
O100011,C15334,P212540,Beauty,16,08-07-2024,No,16
O100012,C14426,P245991,Grocery,11,13-10-2024,No,10
O100013,C15578,P205339,Toys,7,01-11-2023,No,7
O100014,C16231,P227020,Home,39,24-02-2025,No,78
O100015,C13444,P227609,Home,13,03-05-2024,No,40
O100016,C13171,P205848,Sports,97,25-08-2024,No,92
O100017,C12919,P216877,Fashion,16,12-09-2024,No,48
O100018,C17831,P218405,Electronics,734,20-06-2025,No,1469
O100019,C10130,P248629,Fashion,51,10-10-2024,Yes,51
O100020,C11685,P246233,Toys,18,10-05-2024,No,36
O100021,C17476,P221471,Fashion,40,14-11-2024,No,40
O100022,C10769,P203302,Electronics,129,14-12-2024,No,129
O100023,C12391,P214437,Fashion,176,16-05-2025,No,176
O100024,C15611,P247930,Sports,346,16-04-2024,No,587
O100025,C17581,P214512,Beauty,12,31-08-2024,No,37
O100026,C16949,P232436,Sports,157,26-08-2025,No,134
O100027,C12433,P223511,Fashion,11,19-08-2025,No,22
O100028,C15311,P205022,Grocery,21,27-05-2024,No,42
O100029,C15051,P243239,Home,54,11-10-2023,No,109
O100030,C16420,P206155,Home,55,12-11-2023,No,47
O100031,C11184,P231480,Grocery,10,08-04-2024,No,9
O100032,C14555,P238022,Grocery,8,30-12-2023,No,8
O100033,C13385,P225332,Sports,22,06-08-2024,No,21
O100034,C14117,P204354,Grocery,13,08-08-2024,No,26
O100035,C16396,P231847,Beauty,9,04-04-2024,No,18
O100036,C14843,P235284,Fashion,34,27-05-2025,No,68
O100037,C12904,P248640,Fashion,18,10-07-2024,No,18
O100038,C17728,P210156,Beauty,51,13-02-2025,No,102
O100039,C10474,P222453,Beauty,13,17-08-2024,No,11
O100040,C11082,P232689,Home,298,09-12-2023,No,268
O100041,C12558,P223758,Grocery,6,31-03-2024,No,6
O100042,C17849,P208838,Home,36,03-02-2025,No,72
O100043,C12047,P245502,Fashion,47,31-10-2023,No,40
O100044,C17643,P243790,Electronics,313,27-09-2024,No,313
O100045,C12747,P237976,Grocery,14,11-04-2025,No,37
O100046,C10975,P249346,Toys,9,11-01-2024,No,27
O100047,C11806,P213725,Beauty,12,03-05-2025,No,25
O100048,C10189,P209337,Toys,7,19-03-2025,No,7
O100049,C17101,P210701,Toys,54,12-03-2025,No,51
O100050,C12734,P229811,Grocery,16,14-07-2025,No,16
O100051,C13005,P243043,Home,196,31-12-2024,No,783
O100052,C14658,P238978,Beauty,8,16-09-2024,No,8
O100053,C11899,P229316,Electronics,402,24-01-2024,No,804
